"centre_code","centre_name"
"7070","NKUMBI INTERNATIONAL COLL. GCE"
"7071","BWACHA G.C.E. CENTRE"
"7072","HIGHRIDGE G.C.E. CENTRE"
"7073","IBOLELO G.C.E. CENTRE"
"7074","MUKOBEKO G.C.E. CENTRE"
"7075","CHIBOMBO G.C.E. CENTRE"
"7076","BROADWAY G.C.E. CENTRE"
"7078","NKRUMAH G.C.E. CENTRE"
"7079","ELLENSMERE G.C.E. CENTRE"
"7080","CHINDWIN BARRACKS GCE CENTRE"
"7100","NAMPUNDWE SECONDARY G.CE. SCHOOL"
"7101","NAMBALA G.C.E. CENTRE"
"7102","SANJE G.C.E. CENTRE"
"7105","KAFUSHI HIGH SCHOOL GCE CENTRE"
"7127","DELCA PALMS SCHOOL GCE"
"7174","CHALATA HIGH G.C.E. SCHOOL"
"7281","MUKONCHI HIGH SCHOOL (GCE)"
"7282","KABWE SKILLS TRAINING (GCE)"
"7284","MULUNGUSHI AGRO HIGH SCH GCE"
"7285","MKUSHI COPPER MINE HIGH GCE"
"7286","MUPEPETWE HIGH SCH GCE"
"7288","LUKANDA GCE"
"7296","RAPHAEL  KOMBE  GIRLS HIGH GCE"
"7297","MOOMBA HIGH GRZ GCE CENTRE"
"7314","NALUSANGA SECONDARY  SCHOOL"
"7320","FIWILA SECONDARY  SCHOOL"
"7322","SERENJE BOMA  SECONDARY  SCHOOL"
"7460","LUKOMBA SECONDARY G.C.E"
"7461","DANFORD CHIRWA GCE"
"7463","ITEZHI TEZHI SECONDARY GCE"
"7495","CHISAMBA BOARDING SECONDARY SCHOOL GCE"
"7496","SHITIMA SCHOOL GCE"
"7497","SERENJE BOMA SECONDARY SCHOOL GCE"
"7502","MKUSHI DAY SECONDARY SCHOOL"
"7504","JASMINE BOYS GCE"
"7506","SHIMBUWA MBOOMBO"
"7508","NGABWE SECONDARY SCHOOL GCE"
"7509","MUMBACHALA"
"7511","EMMANUEL ADVENTIST SECONDARY SCHOOL"
"7514","CHINDWIN 'A' SECONDARY GCE"
"7516","THE KING'S MISSION SECONDARY SCHOOL  GCE"
"7517","MAMVULE SECONDARY"
"7518","CHANKAMO DAY SECONDARY SCHOOL"
"7519","DOLPHIN PRIVATE SCHOOL"
"7520","JOHN PAUL II SECONDARY GCE"
"7521","MPUNDE DAY CO-SECONDARY GCE"
"7522","CHIBWE DAY SECONDARY SCHOOL"
"7529","NANGOMA SECONDARY SCHOOL"
"7530","KALILWE DAY SECONDARY SCHOOL GCE"
"7531","KAINDU SECONDARY SCHOOL GCE"
"7532","MYOOYE SECONDARY SCHOOL GCE"
"7547","NORTH PARK GCE"
"7549","CHIPEPO BOARDING SCHOOL SECONDARY SCHOOL GCE"
"7550","KAPIRI DAY SECONDARY SCHOOL GCE"
"7551","NAKAIBA ISLAMIC GCE"
"7559","KALALA SECONDARY SCHOOL GCE"
"7560","MUTETESHI GCE"
"7562","MULONGA DAY SECONDARY GCE"
"7563","MAKULULU DAY SECONDARY GCE"
"7564","MBILA SECONDARY GCE"
"7565","KANONA DAY SECONDARY SCHOOL GCE"
"7566","MASANSA SECONDARY GCE"
"7567","MILOSO GCE"
"7568","HILLTOP SECONDARY GCE"
"7569","MATILYO SECONDARY SCHOOL GCE"
"7576","MABONDE DAY SECONDARY GCE"
"7577","MPELEMBE SECONDARY SCHOOL GCE"
"7578","NKULAMASHIBA SECONDARY SCHOOL GCE"
"7579","KATUBA SECONDARY SCHOOL GCE"
"7580","LUANSHIMBA ZNS SECONDARY SCHOOL GCE"
"7581","CHIBEFWE SECONDARY SCHOOL GCE"
"7582","MOOBE SECONDARY SCHOOL GCE"
"7583","MUMBWA DAY SECONDARY SCHOOL GCE"
"7584","CHINYONGOLA SECONDARY SCHOOL GCE"
"7585","SHIFWANKULA SECONDARY SCHOOL GCE"
"7586","ST EDMUND'S SECONDARY SCHOOL GCE"
"7587","KABWE ADVENTIST SCHOOL GCE"
"7588","CHOMBELA SECONDARY SCHOOL GCE"
"7589","MWASHI SECONDARY SCHOOL GCE"
"7595","SHAKUMBILA SECONDARY SCHOOL GCE"
"7596","BULUNGU DAU SECONDARY SCHOOL GCE"
"7597","MEEMBE DAY SECONDARY SCHOOL GCE"
"7598","CHIWENA HOPE SECONDARY SCHOOL GCE"
"7608","KATUBA DAY GCE"
"7609","CHIKUPILI SECONDARY SCHOOL GCE"
"7610","TWIKATANE DAY SECONDARY SCGHOOL GCE"
"7611","MUKULAIKWA SECONDARY SCHOOL GCE"
"7903","SHIMBILO DAY SECONDARY EXTERNAL"
"8081","KAMBULE G.C.E. CENTRE"
"8082","ST. JOHNS G.C.E. CENTRE"
"8083","SEFULA G.C.E. CENTRE"
"8084","HOLYCROSS GIRLS G.C.E. CENTRE"
"8085","SENANGA G.C.E. CENTRE"
"8086","KALABO G.C.E. CENTRE"
"8087","KAOMA G.C.E. CENTRE"
"8088","SESHEKE G.C.E. CENTRE"
"8090","LIMULUNGA DAY G.C.E. CENTRE"
"8091","LUKULU G.C.E. CENTRE"
"8092","SICHILI SECONDARY SCHOOL G.C.E"
"8094","SIOMA G.C.E. CENTRE"
"8095","LUKONA G.C.E. CENTRE"
"8096","SENANGA OPEN S.S. GCE CENTRE"
"8097","MONGU SCH. FOR CONT EDUC (GCE)"
"8098","MUOYO OPEN SEC. SCHOOL (GCE)"
"8099","NKEYEMA HIGH G.C.E. CENTRE"
"8100","MANGANGO HIGH SCH. G.C.E CENTR"
"8102","MALENGWA SCHOOL G.C.E. CENTRE"
"8104","KANYONYO BASIC G.C.E. CENTRE"
"8106","MATAUKA HIGH SCH. GCE CENTRE"
"8108","NAMUSHAKENDE HIGH SCHOOL (GCE)"
"8110","MUOYO HIGH SCHOOL GCE CENTRE"
"8111","MABUMBU BASIC G.C.E."
"8117","LUAMPA HIGH GCE CENTRE"
"8146","NALIONWA SECONDARY SCHOOL (GCE)"
"8151","ILUTE YETA SECONDARY SCHOOL GCE"
"8155","MUNKUYE SECONDARY SCHOOL"
"8156","KATIMA SECONDARY SCHOOL"
"8163","MONGU SCHOOL FOR CONTINUING EDUCATION GCE"
"8164","SHANGOMBO SECONDARY SCHOOL GCE"
"8168","UCZ MWANDI DAY SECONDARY"
"8172","MUYUNDOTI SECONDARY SCHOOL"
"8199","LUKULU BOARDING SECONDARY"
"8205","NANGWESHI SECONDARY GCE"
"8207","MAYUKWAYUKWA SECONDARU SCHOOL GCE"
"8208","KANYONYO SECONDARY GCE"
"8219","SIHOLE SECONDARY SCHOOL GCE"
"8220","KATUNDA SECONDARY SCHOOL GCE"
"8221","LUENA BARRACKS SECONDARY SCHOOL GCE"
"8222","ST EDMUNDS SECONDARY SCHOOL GCE"
"8223","MULOBEZI SECONDARY SCHOOL GCE"
"8224","LUKONA SECONDARY SCHOOL GCE"
"8226","SIKONGO SECONDARY SCHOOL GCE"
"8888","MUCHINGA TEST CENTRE"
"9036","ROLLINGSTONE ACADEMY"
"9037","KAPOCHE SECONDARY SCHOOL GCE"
"9038","J.M ACADEMY GCE"
"9041","SYLVER REST SECONDARY SCHOOL GCE"
"9050","KAKARO SECONDARY SCHOOL GCE"
"9051","TWATASHA Z.N.S SECONDARY SCHOOL GCE"
"9052","ST COLUMBA'S DAY SECONDARY GCE"
"9053","GREAT NORTH ROAD ACADEMY GCE"
"9054","LUKAMANTO COMBINED GCE"
"9056","GESAM CHRISTAN SCHOOL GCE"
"9057","TWATOTELA SCHOOL GCE"
"9058","HACHIPILIKA SECONDARY SCHOOL GCE"
"9059","CHITENDE SECONDARY SCHOOL GCE"
"9060","BLUE BELL SECONDARY SCHOOL GCE"
"9061","NGASO EDUCATION CENTRE GCE"
"9062","MPPHANGO HOPE SECONDARY SCHOOL GCE"
"9063","PALABANA SECONDARY SCHOOL GCE"
"9074","GREAT NORTH ACADEMY GCE"
"9162","ST. MARYS G.C.E. CENTRE"
"9163","KABULONGA BOYS G.C.E. CENTRE"
"9164","KAMWALA G.C.E. CENTRE"
"9165","MUNALI G.C.E. CENTRE"
"9166","KAFUE G.C.E. CENTRE"
"9167","LIBALA G.C.E. CENTRE"
"9168","ROMA GIRLS G.C.E. CENTRE"
"9169","KABULONGA GIRLS G.C.E. CENTRE"
"9170","DAVID KAUNDA G.C.E. CENTRE"
"9171","MATERO GIRLS G.C.E. CENTRE"
"9172","MATERO BOYS G.C.E. CENTRE"
"9173","NABOYE G.C.E. CENTRE"
"9174","CHONGWE G.C.E. CENTRE"
"9175","LUANGWA G.C.E. CENTRE"
"9178","PARKLANDS G.C.E. CENTRE"
"9179","ARAKAN BARRACKS G.C.E. CENTRE"
"9180","MALUNDU G.C.E. CENTRE"
"9182","MAKENI ISLAMIC G.C.E. CENTRE"
"9184","LUSAKA GIRLS G.C.E. CENTRE"
"9185","NANGONGWE G.C.E. CENTRE"
"9187","CHAKUNKULA G.C.E. CENTRE"
"9188","LOTUS G.C.E. CENTRE"
"9189","NYENYEZI G.C.E. CENTRE"
"9190","JACARANDA G.C.E. CENTRE"
"9191","2ND ZAMBIA REGIMENT EDUC CENTR"
"9192","NELSON MANDELA G.C.E. CENTRE"
"9193","MUKAMAMBO II HIGH SCHOOL G.C.E"
"9195","LUSAKA BOYS SCHOOL G.C.E CENTR"
"9196","KAFUE DAY SEC SCH GCE CENTRE"
"9197","MWEMBESHI BASIC G.C.E. CENTRE"
"9198","LUMUMBA RD G.C.E. CENTRE"
"9201","KAMULANGA BASIC G.C.E. CENTRE"
"9202","OLYMPIA G.C.E. CENTRE"
"9204","RHODES PARK G.C.E. CENTRE"
"9212","MAKENI BASIC G.C.E. CENTRE"
"9213","CHITANDA OPEN G.C.E. CENTRE"
"9215","THORNPARK BASIC GCE CENTRE"
"9217","BURMA ROAD BASIC GCE CENTRE"
"9219","NORTHMEAD BASIC SCHOOL GCE"
"9222","CHELSTONE SECONDARY GCE CENTRE"
"9241","LILAYI BASIC GCE CENTRE"
"9244","MUNALI GIRLS GCE"
"9247","CITI EDUCATION CENTRE"
"9249","MUSAMBA BASIC G.C.E. CENTRE"
"9250","BAYUNI  BASIC  G.C.E. CENTRE"
"9375","CHILENJE SOUTH GCE"
"9376","CHUNGA SEC. SCHOOL GCE"
"9383","LAKE ROAD PTA GCE"
"9430","LILAYI SECONDARY G.C.E"
"9431","TWIN PALM SECONDARY G.C.E"
"9432","NYUMBA YANGA SECONDARY G.C.E."
"9433","MWEMBESHI SECONDARY G.C.E."
"9445","HIGHLAND SECONDARY SCHOOL GCE"
"9446","LUSAKA WEST DAY SECONDARY SCHOOL GCE"
"9447","WOODLANDS A SECONDARY SCHOOL GCE"
"9449","DON GORDON SCHOOL GCE"
"9451","GOTA GOTA SECONDARY SCHOOL GCE"
"9452","FEIRA SECONDARY SCHOOL GCE"
"9453","CITY OF HOPE SECONDARY SCHOOL GCE"
"9454","LUSITU SECONDARY SCHOOL GCE"
"9455","ST. PAULS SECONDARY SCHOOL GCE"
"9460","CENTER FOR OPEN AND DISTANCE LEARNING GCE"
"9462","MWEMBEZHI SECONDARY SCHOOL GCE"
"9468","CHINIKA SECONDARY SCONDARY SCHOOL GCE"
"9473","RUFUNSA GIRLS TECHNICAL SECONDARY SCHOOL"
"9475","MATERO SECONDARY SCHOOL GCE"
"9904","MIKANGO SECONDARY SCHOOL GCE"
"9908","MARGARET MWACHIYEYA GCE"
"9912","SHALOM SECONDARY SCHOOL GCE"
"9914","ST MAURICE SCHOOL GCE"
"9915","REPHIDIM PRIMARY"
"9916","TUM SCHOOL GCE"
"9918","MT MAKULU SECONDARY SCHOOL"
"9931","RUFUNSA COMBINED GCE"
"9932","LUKWIPA SECONDARY GCE"
"9933","KAPULULIRA GCE"
"9934","NGOMBE ILEDE GCE"
"9935","CRESTED CRANE ACADEMY DAY AND BOARDING SCHOOL"
"9936","KAUNGA SECONDARY SCHOOL"
"9937","KABANANA SECONDARY GCE"
"9940","KING'S HIGHWAY SDA SCHOOL"
"9944","SIKOONGO SECONDARY GCE"
"9947","CHITIMUKULU SECONDARY SCHOOL GCE"
"9951","TANDIZA SCHOOL"
"9952","GRANDVIEW ACADEMY GCE"
"9953","SONSHINE GCE"
"9956","WILLOWS SECONDARY SCHOOL"
"9957","NEW MTENDERE SECONDARY SCHOOL GCE"
"9964","SHIKOSWE SECONDARY"
"9967","CHABOTA SECONDARY GCE"
"9968","TWASHUKA SECONDARY SCHOOL"
"9969","MUNGU GCE CENTRE"
"9970","NAMUNUNGA"
"9972","MWAVI SECONDARY GCE"
"9973","DILI SECONDARY SCHOOL GCE"
"9978","KAMWALA SOUTH SECONDARY SCHOOL GCE"
"9980","CHILANGA COMBINED SCHOOL GCE"
"9981","NDEKE SECONDARY SCHOOL GCE"
"9986","KAUNDA SQUARE SECONDARY SCHOOL GCE"
"9990","ST MICHEAL SCHOOL GCE"
"9991","BETHLEHEM SECONDARY SCHOOL GCE"
"9992","NANGWENA COMBINED SCHOOL"
"9993","CHIPATA COMMUNITY SCHOOL"
"9994","KACHETA SECONDARY SCHOOL"
"9995","KASAMU SCHOOL"
"9997","LUSAKA WEST BOARDING SECONDARY SCHOOL GCE"
"9998","MPANSHYA SECONDARY SCHOOL GCE"
